"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CETXP","Cemtrex Inc.","5.591","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxp",
"CETXW","Cemtrex Inc.","0.3939","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxw",
"CVE","Cenovus Energy Inc","7.52","$9.24B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cve",
"CNC","Centene Corporation","100.22","$17.38B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cnc",
"CDEV","Centennial Resource Development, Inc.","18.77","$5.18B","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cdev",
"CEN","Center Coast Brookfield MLP & Energy Infrastructur","9.98","$217.69M","2013","n/a","n/a","https://www.nasdaq.com/symbol/cen",
"CNP","CenterPoint Energy, Inc.","26.91","$11.6B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cnp",
"CSFL","CenterState Bank Corporation","27.43","$2.26B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/csfl",
"EBR","Centrais Electricas Brasileiras S.A.- Eletrobras","6.58","$8.9B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ebr",
"EBR.B","Centrais Electricas Brasileiras S.A.- Eletrobras","n/a","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/ebr.b",
"CETV","Central European Media Enterprises Ltd.","4.65","$674.08M","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/cetv",
"CFBK","Central Federal Corporation","2.436","$56.36M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbk",
"CENT","Central Garden & Pet Company","39.2","$2.03B","1993","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","37.36","$1.94B","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/centa",
"CEPU","Central Puerto S.A.","18.25","$365M","2018","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cepu",
"CET","Central Securities Corporation","27.09","$672.13M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cet",
"CVCY","Central Valley Community Bancorp","19.64","$266.74M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
"LEU","Centrus Energy Corp.","3.77","$34.08M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/leu",
"CENX","Century Aluminum Company","24.12","$2.11B","1996","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/cenx",
"CNBKA","Century Bancorp, Inc.","77.45","$431.23M","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/cnbka",
"CNTY","Century Casinos, Inc.","8.52","$250.15M","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/cnty",
"CCS","Century Communities, Inc.","32.5","$896.13M","2014","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/ccs",
"CTL","CenturyLink, Inc.","18.93","$20.24B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ctl",
"CRNT","Ceragon Networks Ltd.","2.64","$205.77M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CERC","Cerecor Inc.","4.04","$105.26M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cerc",
"CERCW","Cerecor Inc.","0.445","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cercw",
"CERN","Cerner Corporation","64.22","$21.36B","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CERS","Cerus Corporation","4.13","$477.24M","1997","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/cers",
"KOOL","Cesca Therapeutics Inc.","2.94","$31.94M","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",
"CEVA","CEVA, Inc.","35.45","$779.01M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CF","CF Industries Holdings, Inc.","40.36","$9.41B","2005","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cf",
"CGG","CGG","3.9","$179.35M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cgg",
"GIB","CGI Group, Inc.","58.86","$15.02B","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/gib",
"CSBR","Champions Oncology, Inc.","3.51","$38.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CYOU","Changyou.com Limited","27.22","$1.43B","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"ECOM          ","ChannelAdvisor Corporation","8.75","$232.8M","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ecom",
"BURG","Chanticleer Holdings, Inc.","3.66","$11.07M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/burg",
"CTHR","Charles & Colvard Ltd.","1.44","$31.1M","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"CRL","Charles River Laboratories International, Inc.","108.11","$5.13B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/crl",
"GTLS","Chart Industries, Inc.","50.01","$1.54B","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","365.66","$87.21B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/chtr",
"CHFN","Charter Financial Corp.","19.8","$299.61M","2010","Finance","Savings Institutions","https://www.nasdaq.com/symbol/chfn",
"CCF","Chase Corporation","107.65","$1.01B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ccf",
"CLDT","Chatham Lodging Trust (REIT)","21.13","$974.57M","2010","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cldt",
"CHKP","Check Point Software Technologies Ltd.","103.28","$17.14B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","0.76","$14.64M","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.3199","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CKPT","Checkpoint Therapeutics, Inc.","4.13","$105.35M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CMCM","Cheetah Mobile Inc.","13.81","$1.99B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cmcm",
"CHGG","Chegg, Inc.","19.57","$2.15B","2013","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/chgg",
"CEMI","Chembio Diagnostics, Inc.","7.6","$107.74M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHE","Chemed Corp.","254.56","$4.06B","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/che",
"CHFC","Chemical Financial Corporation","57.82","$4.12B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",
"CCXI","ChemoCentryx, Inc.","9.47","$461.82M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ccxi",
"CC","Chemours Company (The)","48.84","$9.04B","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cc",
"CHMG","Chemung Financial Corp","43.9","$208.1M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"CQH","Cheniere Energy Partners LP Holdings, LLC","28","$6.49B","2013","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","29.17","$14.12B","2007","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","57.64","$13.7B","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/lng",
"CHKE","Cherokee Inc.","1.425","$19.88M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/chke",
"CHMI","Cherry Hill Mortgage Investment Corporation","17.13","$217.92M","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/chmi",
"CHMI^A","Cherry Hill Mortgage Investment Corporation","25.0993","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/chmi^a",
"CHK","Chesapeake Energy Corporation","2.73","$2.48B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chk",
"CHK^D","Chesapeake Energy Corporation","50.56","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/chk^d",
"CHKR","Chesapeake Granite Wash Trust","1.85","$108.11M","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/chkr",
"CHSP","Chesapeake Lodging Trust","26.66","$1.6B","2010","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/chsp",
"CPK","Chesapeake Utilities Corporation","68.55","$1.12B","n/a","Public Utilities","Oil & Gas Production","https://www.nasdaq.com/symbol/cpk",
"CVX","Chevron Corporation","112.14","$213B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvx",
"CHFS","CHF Solutions, Inc.","3.17","$5.7M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","1.55","$37.79M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CBI","Chicago Bridge & Iron Company N.V.","18.71","$1.9B","1997","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cbi",
"CVR","Chicago Rivet & Machine Co.","31.6175","$30.55M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cvr",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","7.58","$87.96M","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"CHS","Chico&#39;s FAS, Inc.","9.82","$1.26B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/chs",
"PLCE","Children&#39;s Place, Inc. (The)","149.15","$2.59B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CIM","Chimera Investment Corporation","17.64","$3.31B","2007","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cim",
"CIM^A","Chimera Investment Corporation","25.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cim^a",
"CIM^B","Chimera Investment Corporation","25.71","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cim^b",
"CMRX","Chimerix, Inc.","5.02","$236.58M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","3.15","$7.52M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","3.33","$16.12M","n/a","Consumer Services","Motor Vehicles","https://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","4.4","$139.23M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","80.85","$2.23B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.92","$6.13M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","1.39","$27.04M","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/cccr",
"CO","China Cord Blood Corporation","10.52","$1.19B","n/a","Finance","Business Services","https://www.nasdaq.com/symbol/co",
"CCRC","China Customer Relations Centers, Inc.","12.2","$223.62M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"DL","China Distance Education Holdings Limited","9.29","$306.23M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/dl",
"CEA","China Eastern Airlines Corporation Ltd.","39.89","$11.54B","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"JRJC","China Finance Online Co. Limited","2.44","$57.63M","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"CHN","China Fund, Inc. (The)","22.46","$353.13M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/chn",
"CGA","China Green Agriculture, Inc.","1.42","$54.74M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"HGSH","China HGS Real Estate, Inc.","1.3841","$62.35M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CNIT","China Information Technology, Inc.","2.12","$85.29M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cnit",
"CIFS","China Internet Nationwide Financial Services Inc.","45.06","$992.36M","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.37","$34.54M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","2.2924","$54.46M","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",
"LFC","China Life Insurance Company Limited","14.96","$84.57B","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/lfc",
"HTHT","China Lodging Group, Limited","146.99","$10.44B","2010","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/htht",
"CHL","China Mobile (Hong Kong) Ltd.","47.89","$196.11B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chl",
"CHNR","China Natural Resources, Inc.","2.24","$55.8M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"BORN","China New Borun Corporation","1.43","$36.79M","2010","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/born",
"COE","China Online Education Group","10.35","$207.57M","2016","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/coe",
"SNP","China Petroleum & Chemical Corporation","80.78","$97.8B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/snp",
"CPHI","China Pharma Holdings, Inc.","0.328","$14.29M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cphi",
"XRF","China Rapid Finance Limited","5.06","$327.38M","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/xrf",
"CREG","China Recycling Energy Corporation","2.03","$16.87M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"ZNH","China Southern Airlines Company Limited","61.37","$12.38B","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"CNTF","China TechFaith Wireless Communication Technology Limited","2.51","$26.57M","2005","n/a","n/a","https://www.nasdaq.com/symbol/cntf",
"CHA","China Telecom Corp Ltd","44.57","$36.07B","2002","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cha",
"CHU","China Unicom (Hong Kong) Ltd","13.14","$40.21B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chu",
"CXDC","China XD Plastics Company Limited","4.45","$221.29M","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"XNY","China Xiniya Fashion Limited","5.398","$25.61M","2010","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/xny",
"CYD","China Yuchai International Limited","23.13","$941.67M","1994","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cyd",
"ZX","China Zenix Auto International Limited","1.1501","$59.37M","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/zx",
"CCIH","ChinaCache International Holdings Ltd.","1.42","$36.33M","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","2.79","$45.01M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","16.68","$714.08M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CMG","Chipotle Mexican Grill, Inc.","305.63","$8.54B","2006","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/cmg",
"CHH","Choice Hotels International, Inc.","80.5","$4.56B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/chh",
"CBK","Christopher & Banks Corporation","1.13","$42.75M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/cbk",
"CDXC","ChromaDex Corporation","5.39","$290.18M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
"CHSCL","CHS Inc","27.57","n/a","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","25.89","$491.91M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","26.53","$445.7M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","28.29","$320.22M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","29.42","$212.77M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscp",
"CB","Chubb Limited","147","$68.18B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cb",
"CHT","Chunghwa Telecom Co., Ltd.","37.01","$28.71B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cht",
"CHD","Church & Dwight Company, Inc.","49.78","$12.44B","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/chd",
"CHDN","Churchill Downs, Incorporated","263.55","$4.07B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/chdn",
"CHUY","Chuy&#39;s Holdings, Inc.","26.15","$442.29M","2012","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/chuy",
"CDTX","Cidara Therapeutics, Inc.","6.95","$140.66M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cdtx",
"CIEN","Ciena Corporation","23.23","$3.34B","1997","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cien",
"CI","Cigna Corporation","193.81","$47.28B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/ci",
"CMCT","CIM Commercial Trust Corporation","16.8336","$737.06M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmct",
"CMCTP","CIM Commercial Trust Corporation","n/a","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmctp",
"XEC","Cimarex Energy Co","98.73","$9.41B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xec",
"CMPR","Cimpress N.V","157.94","$4.84B","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CBB","Cincinnati Bell Inc","15.6","$658.09M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cbb",
"CBB^B","Cincinnati Bell Inc","49.141","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cbb^b",
"CINF","Cincinnati Financial Corporation","77.19","$12.65B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cinf",
"CIDM","Cinedigm Corp","1.245","$43.36M","n/a","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/cidm",
"CNK","Cinemark Holdings Inc","39.03","$4.55B","2007","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/cnk",
"CINR","Ciner Resources LP","27.75","$547.4M","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cinr",
"CTAS","Cintas Corporation","167.12","$17.8B","1983","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctas",
"CIR","CIRCOR International, Inc.","47.84","$946.46M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/cir",
"CRUS","Cirrus Logic, Inc.","41.77","$2.65B","1989","Technology","Semiconductors","https://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","44.33","$219.15B","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"CISN","Cision Ltd.","11.96","$1.47B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cisn",
"CISN.WS","Cision Ltd.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cisn.ws",
"CIT","CIT Group Inc (DEL)","54.05","$7.1B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cit",
"CTRN","Citi Trends, Inc.","22.69","$311.76M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/ctrn",
"BLW","Citigroup Inc.","15.27","$565.05M","2003","Finance","Major Banks","https://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","76.82","$197.41B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c",
"C.WS.A","Citigroup Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/c.ws.a",
"C^C","Citigroup Inc.","25.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/c^c",
"C^J","Citigroup Inc.","27.99","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/c^j",
"C^K","Citigroup Inc.","27.37","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c^k",
"C^L","Citigroup Inc.","25.87","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/c^l",
"C^N","Citigroup Inc.","27.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/c^n",
"C^S","Citigroup Inc.","25.77","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/c^s",
"CTXR","Citius Pharmaceuticals, Inc.","3.78","$37.71M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxr",
"CTXRW","Citius Pharmaceuticals, Inc.","0.7889","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxrw",
"CZNC","Citizens & Northern Corp","23.25","$283.99M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","13.82","$81.57M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/czwi",
"CFG","Citizens Financial Group, Inc.","45.93","$22.54B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/cfg",
"CZFC","Citizens First Corporation","23.94","$60.48M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","21.855","$106.97M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cizn",
"CIA","Citizens, Inc.","7.29","$365.1M","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/cia",
"CTXS","Citrix Systems, Inc.","91.21","$13.74B","1995","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ctxs",
"CHCO","City Holding Company","69.53","$1.09B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chco",
"CIO","City Office REIT, Inc.","10.67","$384.25M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cio",
"CIO^A","City Office REIT, Inc.","24.3337","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cio^a",
"CVEO","Civeo Corporation","3.37","$445.69M","2014","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/cveo",
"CIVB","Civista Bancshares, Inc. ","22.23","$226.71M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civb",
"CIVBP","Civista Bancshares, Inc. ","70.52","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civbp",
"CIVI","Civitas Solutions, Inc.","12.7","$476.84M","2014","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/civi",
"CKX","CKX Lands, Inc.","10.257","$19.92M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ckx",
"CLAR","Clarus Corporation","7.8","$234.32M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/clar",
"CDTI","Clean Diesel Technologies, Inc.","1.38","$21.81M","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cdti",
"CLNE","Clean Energy Fuels Corp.","1.46","$220.58M","2007","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/clne",
"CLH","Clean Harbors, Inc.","52.4","$2.98B","n/a","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/clh",
"CCO","Clear Channel Outdoor Holdings, Inc.","5","$1.82B","2005","Consumer Services","Advertising","https://www.nasdaq.com/symbol/cco",
"CACG","ClearBridge All Cap Growth ETF","28.94","$56.43M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cacg",
"CBA           ","ClearBridge American Energy MLP Fund Inc.","8.2001","$480.47M","2013","n/a","n/a","https://www.nasdaq.com/symbol/cba",
"YLDE","ClearBridge Dividend Strategy ESG ETF","27.725","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ylde",
"CEM","ClearBridge Energy MLP Fund Inc.","15.63","$1.1B","2010","n/a","n/a","https://www.nasdaq.com/symbol/cem",
"EMO","ClearBridge Energy MLP Opportunity Fund Inc.","11.75","$366.55M","2011","n/a","n/a","https://www.nasdaq.com/symbol/emo",
"CTR","ClearBridge Energy MLP Total Return Fund Inc.","11.96","$459.27M","2012","n/a","n/a","https://www.nasdaq.com/symbol/ctr",
"LRGE","ClearBridge Large Cap Growth ESG ETF","30.07","$3.01M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lrge",
"CLFD","Clearfield, Inc.","12.25","$169.27M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clfd",
"CLRO","ClearOne, Inc.","8.1763","$68.8M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clro",
"CLSD","Clearside Biomedical, Inc.","6.44","$163.21M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clsd",
"CLIR","ClearSign Combustion Corporation","2.725","$42.53M","2012","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clir",
"CLIRW","ClearSign Combustion Corporation","1.09","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clirw",
"CLW","Clearwater Paper Corporation","37.05","$608.86M","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/clw",
"CMTA","Clementia Pharmaceuticals Inc.","11.92","$378.07M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmta",
"CBLI","Cleveland BioLabs, Inc.","3.373","$38.05M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/cbli",
"CLF","Cleveland-Cliffs Inc.","7.92","$2.36B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/clf",
"CSBK","Clifton Bancorp Inc.","15.77","$348.51M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/csbk",
"CLPR","Clipper Realty Inc.","8.26","$147.13M","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/clpr",
